No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr),nyr,yrb,yre,elev(m),CT,CN,River_Name
579,10000,126.22,39.24,1878.0,1.119,19.0,1966,1984,50.0,KP,AS,Biryu
727,10000,101.71,3.15,490.0,0.6990000000000001,18.3,1969,2000,31.0,MY,AS,Klang
581,10000,126.99,-14.66,14000.0,1.1440000000000001,23.8,1974,1999,-9999.0,WX,AU,Drysdale
606,10000,6.33,52.25,3600.0,1.02,5.0,1978,1982,-9999.0,NL,EU,Vecht
607,10000,77.93,8.62,4505.0,1.012,7.0,1971,1979,13.0,IN,AS,Tambraparni
608,10000,-74.68,20.38,753.0,1.005,11.0,1969,1979,562.0,CU,CB,Toa
609,10000,-38.07,-12.51,4860.0,0.9990000000000001,36.6,1961,1998,22.0,BR,SA,Pojuca
610,10000,151.55,-32.73,17476.0,0.752,31.2,1968,2000,0.2,NX,AU,Hunter
611,10000,19.87,40.76,2070.0,1.005,40.0,1950,1989,25.0,AL,EU,Osumi
612,10000,-35.58,-8.68,5100.0,0.996,25.8,1973,1998,109.0,BR,SA,Una
613,10000,101.16,4.11,461.0,0.9990000000000001,57.7,1930,2000,18.0,MY,AS,Batang
614,10000,18.59,63.56,3030.0,0.9940000000000001,52.7,1923,1975,-9999.0,SE,EU,Gidealven
615,10000,-6.57,53.7,2695.0,0.992,6.9,1973,1979,14.0,IE,EU,Boyne
616,10000,48.25,66.5,2780.0,0.9790000000000001,27.0,1965,1993,-9999.0,RU,EU,Pesha
617,10000,176.76,-37.94,906.0,0.9640000000000001,56.6,1948,2004,-9999.0,NZ,PO,Tarawera
618,10000,1.83,50.1,5560.0,0.983,15.0,1965,1980,-9999.0,FR,EU,Somme
619,10000,-5.9,32.68,3330.0,0.981,35.2,1953,1989,591.0,MA,AF,Oum
620,10000,-68.27,57.67,2140.0,0.972,19.7,1972,1993,-9999.0,CA,,False
621,10000,-2.97,52.97,1019.0,0.975,61.9,1937,1999,25.4,UK,EU,Dee
622,10000,167.93,-44.68,155.0,0.971,7.3,1965,1975,-9999.0,NZ,PO,Cleddau
