m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
11379 -68.25 49.25 45800.0 32.097 46.7 1946 1994 37.0 CA NA Manicouagan ATL
11852 -78.25 1.75 18800.0 31.726 9.5 1973 1991 40.0 EC SA Esmeraldas PAC
10000 -39.75 -19.25 78456.0 32.437 68.0 1967 2006 -9999.0 BR SA Doce ATL
10000 135.75 71.25 224000.0 33.122 52.4 1951 2006 -9999.0 RU AS Yana ARC
10000 -53.25 -1.25 51343.0 32.113 37.8 1968 2006 -9999.0 BR SA Jari ATL
10000 -72.75 -37.25 24029.0 31.876 28.3 1963 1992 -9999.0 CL SA Bío Bío
16000 -87.75 56.25 94300.0 19.933 22.6 1970 1994 50.0 CA NA Severn-CA ATL
14762 -158.25 58.75 25511.0 20.987 16.0 1977 1993 27.4 AK NA Nushagak PAC
10000 44.75 -19.75 45000.0 31.400 24.3 1958 1983 -9999.0 MG AF Tsiribihina IND
11111 -73.75 -47.75 23736.0 27.443 21.8 1963 1984 105.0 CL SA Baker PAC
10000 -50.25 1.25 23373.0 29.996 41.2 1952 2006 -9999.0 BR SA Araguari ATL
10357 74.75 68.75 95100.0 27.852 50.2 1939 1991 2.0 RU AS Pur ARC
11600 -130.25 54.75 19200.0 24.484 66.4 1929 2006 65.0 CA NA Nass PAC
17059 -8.75 41.25 91491.0 17.317 36.8 1933 1969 44.0 PT EU Douro (Duero)
10741 -62.75 -40.75 95000.0 26.924 66.8 1927 1994 32.0 AR SA Negro-AR ATL
10000 11.75 -4.25 55010.0 28.584 22.9 1956 1982 8.0 CG AF Kouilou ATL
10769 -2.25 47.25 110000.0 27.553 100.0 1900 1999 9.0 FR EU Loire ATL
13333 -72.75 -41.75 8620.0 20.970 43.4 1943 1986 -9999.0 CL SA Puelo PAC
11739 113.75 22.75 25325.0 23.412 34.3 1953 1987 7.0 CN AS Dongjiang PAC
10000 89.25 25.75 20000.0 28.631 12.8 1969 1992 -9999.0 BD AS Tista IND
